EMAIL,FIRSTNAME,LASTNAME,SMS,DOB,ORDER_ID
abc0@gmail.com,abc,def,9800000001,2022-11-11 10:43:59 +0000 UTC,0
abc1@gmail.com,abc,def,9800000002,2022-11-11 10:43:59 +0000 UTC,1
abc2@gmail.com,abc,def,9800000003,2022-11-11 10:43:59 +0000 UTC,2
abc3@gmail.com,abc,def,9800000004,2022-11-11 10:43:59 +0000 UTC,3
abc4@gmail.com,abc,def,9800000005,2022-11-11 10:43:59 +0000 UTC,4
abc5@gmail.com,abc,def,9800000006,2022-11-11 10:43:59 +0000 UTC,5
abc6@gmail.com,abc,def,9800000007,2022-11-11 10:43:59 +0000 UTC,6
abc7@gmail.com,abc,def,9800000008,2022-11-11 10:43:59 +0000 UTC,7
abc8@gmail.com,abc,def,9800000009,2022-11-11 10:43:59 +0000 UTC,8
abc9@gmail.com,abc,def,9800000010,2022-11-11 10:43:59 +0000 UTC,9
abc10@gmail.com,abc,def,9800000011,2022-11-11 10:43:59 +0000 UTC,10
abc11@gmail.com,abc,def,9800000012,2022-11-11 10:43:59 +0000 UTC,11
abc12@gmail.com,abc,def,9800000013,2022-11-11 10:43:59 +0000 UTC,12
abc13@gmail.com,abc,def,9800000014,2022-11-11 10:43:59 +0000 UTC,13
abc14@gmail.com,abc,def,9800000015,2022-11-11 10:43:59 +0000 UTC,14
abc15@gmail.com,abc,def,9800000016,2022-11-11 10:43:59 +0000 UTC,15
abc16@gmail.com,abc,def,9800000017,2022-11-11 10:43:59 +0000 UTC,16
abc17@gmail.com,abc,def,9800000018,2022-11-11 10:43:59 +0000 UTC,17
abc18@gmail.com,abc,def,9800000019,2022-11-11 10:43:59 +0000 UTC,18
abc19@gmail.com,abc,def,9800000020,2022-11-11 10:43:59 +0000 UTC,19
abc20@gmail.com,abc,def,9800000021,2022-11-11 10:43:59 +0000 UTC,20
abc21@gmail.com,abc,def,9800000022,2022-11-11 10:43:59 +0000 UTC,21
abc22@gmail.com,abc,def,9800000023,2022-11-11 10:43:59 +0000 UTC,22
abc23@gmail.com,abc,def,9800000024,2022-11-11 10:43:59 +0000 UTC,23
abc24@gmail.com,abc,def,9800000025,2022-11-11 10:43:59 +0000 UTC,24
abc25@gmail.com,abc,def,9800000026,2022-11-11 10:43:59 +0000 UTC,25
abc26@gmail.com,abc,def,9800000027,2022-11-11 10:43:59 +0000 UTC,26
abc27@gmail.com,abc,def,9800000028,2022-11-11 10:43:59 +0000 UTC,27
abc28@gmail.com,abc,def,9800000029,2022-11-11 10:43:59 +0000 UTC,28
abc29@gmail.com,abc,def,9800000030,2022-11-11 10:43:59 +0000 UTC,29
abc30@gmail.com,abc,def,9800000031,2022-11-11 10:43:59 +0000 UTC,30
abc31@gmail.com,abc,def,9800000032,2022-11-11 10:43:59 +0000 UTC,31
abc32@gmail.com,abc,def,9800000033,2022-11-11 10:43:59 +0000 UTC,32
abc33@gmail.com,abc,def,9800000034,2022-11-11 10:43:59 +0000 UTC,33
abc34@gmail.com,abc,def,9800000035,2022-11-11 10:43:59 +0000 UTC,34
abc35@gmail.com,abc,def,9800000036,2022-11-11 10:43:59 +0000 UTC,35
abc36@gmail.com,abc,def,9800000037,2022-11-11 10:43:59 +0000 UTC,36
abc37@gmail.com,abc,def,9800000038,2022-11-11 10:43:59 +0000 UTC,37
abc38@gmail.com,abc,def,9800000039,2022-11-11 10:43:59 +0000 UTC,38
abc39@gmail.com,abc,def,9800000040,2022-11-11 10:43:59 +0000 UTC,39
abc40@gmail.com,abc,def,9800000041,2022-11-11 10:43:59 +0000 UTC,40
abc41@gmail.com,abc,def,9800000042,2022-11-11 10:43:59 +0000 UTC,41
abc42@gmail.com,abc,def,9800000043,2022-11-11 10:43:59 +0000 UTC,42
abc43@gmail.com,abc,def,9800000044,2022-11-11 10:43:59 +0000 UTC,43
abc44@gmail.com,abc,def,9800000045,2022-11-11 10:43:59 +0000 UTC,44
abc45@gmail.com,abc,def,9800000046,2022-11-11 10:43:59 +0000 UTC,45
abc46@gmail.com,abc,def,9800000047,2022-11-11 10:43:59 +0000 UTC,46
abc47@gmail.com,abc,def,9800000048,2022-11-11 10:43:59 +0000 UTC,47
abc48@gmail.com,abc,def,9800000049,2022-11-11 10:43:59 +0000 UTC,48
abc49@gmail.com,abc,def,9800000050,2022-11-11 10:43:59 +0000 UTC,49
abc50@gmail.com,abc,def,9800000051,2022-11-11 10:43:59 +0000 UTC,50
abc51@gmail.com,abc,def,9800000052,2022-11-11 10:43:59 +0000 UTC,51
abc52@gmail.com,abc,def,9800000053,2022-11-11 10:43:59 +0000 UTC,52
abc53@gmail.com,abc,def,9800000054,2022-11-11 10:43:59 +0000 UTC,53
abc54@gmail.com,abc,def,9800000055,2022-11-11 10:43:59 +0000 UTC,54
abc55@gmail.com,abc,def,9800000056,2022-11-11 10:43:59 +0000 UTC,55
abc56@gmail.com,abc,def,9800000057,2022-11-11 10:43:59 +0000 UTC,56
abc57@gmail.com,abc,def,9800000058,2022-11-11 10:43:59 +0000 UTC,57
abc58@gmail.com,abc,def,9800000059,2022-11-11 10:43:59 +0000 UTC,58
abc59@gmail.com,abc,def,9800000060,2022-11-11 10:43:59 +0000 UTC,59
abc60@gmail.com,abc,def,9800000061,2022-11-11 10:43:59 +0000 UTC,60
abc61@gmail.com,abc,def,9800000062,2022-11-11 10:43:59 +0000 UTC,61
abc62@gmail.com,abc,def,9800000063,2022-11-11 10:43:59 +0000 UTC,62
abc63@gmail.com,abc,def,9800000064,2022-11-11 10:43:59 +0000 UTC,63
abc64@gmail.com,abc,def,9800000065,2022-11-11 10:43:59 +0000 UTC,64
abc65@gmail.com,abc,def,9800000066,2022-11-11 10:43:59 +0000 UTC,65
abc66@gmail.com,abc,def,9800000067,2022-11-11 10:43:59 +0000 UTC,66
abc67@gmail.com,abc,def,9800000068,2022-11-11 10:43:59 +0000 UTC,67
abc68@gmail.com,abc,def,9800000069,2022-11-11 10:43:59 +0000 UTC,68
abc69@gmail.com,abc,def,9800000070,2022-11-11 10:43:59 +0000 UTC,69
abc70@gmail.com,abc,def,9800000071,2022-11-11 10:43:59 +0000 UTC,70
abc71@gmail.com,abc,def,9800000072,2022-11-11 10:43:59 +0000 UTC,71
abc72@gmail.com,abc,def,9800000073,2022-11-11 10:43:59 +0000 UTC,72
abc73@gmail.com,abc,def,9800000074,2022-11-11 10:43:59 +0000 UTC,73
abc74@gmail.com,abc,def,9800000075,2022-11-11 10:43:59 +0000 UTC,74
abc75@gmail.com,abc,def,9800000076,2022-11-11 10:43:59 +0000 UTC,75
abc76@gmail.com,abc,def,9800000077,2022-11-11 10:43:59 +0000 UTC,76
abc77@gmail.com,abc,def,9800000078,2022-11-11 10:43:59 +0000 UTC,77
abc78@gmail.com,abc,def,9800000079,2022-11-11 10:43:59 +0000 UTC,78
abc79@gmail.com,abc,def,9800000080,2022-11-11 10:43:59 +0000 UTC,79
abc80@gmail.com,abc,def,9800000081,2022-11-11 10:43:59 +0000 UTC,80
abc81@gmail.com,abc,def,9800000082,2022-11-11 10:43:59 +0000 UTC,81
abc82@gmail.com,abc,def,9800000083,2022-11-11 10:43:59 +0000 UTC,82
abc83@gmail.com,abc,def,9800000084,2022-11-11 10:43:59 +0000 UTC,83
abc84@gmail.com,abc,def,9800000085,2022-11-11 10:43:59 +0000 UTC,84
abc85@gmail.com,abc,def,9800000086,2022-11-11 10:43:59 +0000 UTC,85
abc86@gmail.com,abc,def,9800000087,2022-11-11 10:43:59 +0000 UTC,86
abc87@gmail.com,abc,def,9800000088,2022-11-11 10:43:59 +0000 UTC,87
abc88@gmail.com,abc,def,9800000089,2022-11-11 10:43:59 +0000 UTC,88
abc89@gmail.com,abc,def,9800000090,2022-11-11 10:43:59 +0000 UTC,89
abc90@gmail.com,abc,def,9800000091,2022-11-11 10:43:59 +0000 UTC,90
abc91@gmail.com,abc,def,9800000092,2022-11-11 10:43:59 +0000 UTC,91
abc92@gmail.com,abc,def,9800000093,2022-11-11 10:43:59 +0000 UTC,92
abc93@gmail.com,abc,def,9800000094,2022-11-11 10:43:59 +0000 UTC,93
abc94@gmail.com,abc,def,9800000095,2022-11-11 10:43:59 +0000 UTC,94
abc95@gmail.com,abc,def,9800000096,2022-11-11 10:43:59 +0000 UTC,95
abc96@gmail.com,abc,def,9800000097,2022-11-11 10:43:59 +0000 UTC,96
abc97@gmail.com,abc,def,9800000098,2022-11-11 10:43:59 +0000 UTC,97
abc98@gmail.com,abc,def,9800000099,2022-11-11 10:43:59 +0000 UTC,98
abc99@gmail.com,abc,def,9800000100,2022-11-11 10:43:59 +0000 UTC,99
abc100@gmail.com,abc,def,9800000101,2022-11-11 10:43:59 +0000 UTC,100
abc101@gmail.com,abc,def,9800000102,2022-11-11 10:43:59 +0000 UTC,101
abc102@gmail.com,abc,def,9800000103,2022-11-11 10:43:59 +0000 UTC,102
abc103@gmail.com,abc,def,9800000104,2022-11-11 10:43:59 +0000 UTC,103
abc104@gmail.com,abc,def,9800000105,2022-11-11 10:43:59 +0000 UTC,104
abc105@gmail.com,abc,def,9800000106,2022-11-11 10:43:59 +0000 UTC,105
